Location,Period,Prov,Sample,d13C,d15N
Coastal,Late,2 Coastal,CGH6,-14.49,4.36
Coastal,Late,2 Coastal,CGH143,-15.77,7.08
Coastal,Early,2 Coastal,CGH210,-18.45,8.1
Coastal,Late,2 Coastal,CGH7,-15.36,9.08
Coastal,Early,2 Coastal,CGH208,-18.24,9.64
Coastal,Late,2 Coastal,CGH256,-17.32,10
Coastal,Late,2 Coastal,CGH198,-16.65,10.62
Coastal,Late,2 Coastal,CGH316,-17.74,10.78
Coastal,Early,2 Coastal,CGH206,-17.54,11.11
Coastal,Late,2 Coastal,CGH362,-17.12,11.76
Coastal,Late,2 Coastal,CGH138,-13.76,12.45
Coastal,Late,2 Coastal,CGH8,-16.27,12.47
Coastal,Late,2 Coastal,CGH41,-16.14,12.49
Coastal,Late,2 Coastal,CGH139,-15.8,12.62
Coastal,Late,2 Coastal,CGH4,-16.57,12.89
Coastal,Late,2 Coastal,CGH20,-17.17,13.25
Coastal,Late,2 Coastal,CGH146,-15.38,13.26
Coastal,Late,2 Coastal,CGH144,-14.74,13.32
Coastal,Late,2 Coastal,CGH355,-15.78,13.36
Coastal,Late,2 Coastal,CGH22,-16.46,13.48
Coastal,Early,2 Coastal,CGH203,-16.85,13.54
Coastal,Late,2 Coastal,CGH200,-15.73,13.64
Coastal,Late,2 Coastal,CGH262,-15.57,13.68
Coastal,Late,2 Coastal,CGH140,-15.29,13.72
Coastal,Late,2 Coastal,CGH9,-15.79,13.78
Coastal,Late,2 Coastal,CGH193,-15.55,13.81
Coastal,Late,2 Coastal,CGH250,-15.39,13.82
Coastal,Late,2 Coastal,CGH197,-15.52,13.85
Coastal,Late,2 Coastal,CGH251,-15.7,13.93
Coastal,Late,2 Coastal,CGH184,-15.4,13.95
Coastal,Late,2 Coastal,CGH258,-15.12,14.01
Coastal,Late,2 Coastal,CGH189,-15.28,14.05
Coastal,Late,2 Coastal,CGH253,-15.29,14.11
Coastal,Late,2 Coastal,CGH190,-15.74,14.12
Coastal,Early,2 Coastal,CGH228,-15.74,14.29
Coastal,Late,2 Coastal,CGH341,-15.25,14.29
Coastal,Late,2 Coastal,CGH51,-15.82,14.4
Coastal,Late,2 Coastal,CGH17,-15.81,14.42
Coastal,Late,2 Coastal,CGH195,-15.74,14.47
Coastal,Late,2 Coastal,CGH147,-15.14,14.49
Coastal,Late,2 Coastal,CGH21,-15.68,14.66
Coastal,Late,2 Coastal,CGH334,-15.58,14.77
Coastal,Late,2 Coastal,CGH196,-14.27,14.85
Coastal,Late,2 Coastal,CGH188,-15.3,14.89
Coastal,Late,2 Coastal,CGH18,-15.95,14.89
Coastal,Late,2 Coastal,CGH42,-15.67,15.2
Coastal,Late,2 Coastal,CGH148,-14.17,15.21
Coastal,Late,2 Coastal,CGH342,-14.74,15.32
Coastal,Late,2 Coastal,CGH254,-14.65,15.33
Coastal,Late,2 Coastal,CGH257,-14.81,15.35
Coastal,Late,2 Coastal,CGH263,-14.54,15.39
Coastal,Late,2 Coastal,CGH26,-15.24,15.42
Coastal,Late,2 Coastal,CGH252,-14.51,15.5
Coastal,Late,2 Coastal,CGH186,-14.99,15.54
Coastal,Late,2 Coastal,CGH145,-14.87,15.54
Coastal,Late,2 Coastal,CGH392,-15.59,15.59
Coastal,Late,2 Coastal,CGH329,-15.18,15.65
Coastal,Late,2 Coastal,CGH11,-14.49,15.68
Coastal,Late,2 Coastal,CGH24,-15.06,15.69
Coastal,Late,2 Coastal,CGH359,-14.36,15.71
Coastal,Late,2 Coastal,CGH142,-14.14,15.73
Coastal,Late,2 Coastal,CGH260,-14.72,15.73
Coastal,Late,2 Coastal,CGH194,-14.69,15.92
Coastal,Late,2 Coastal,CGH361,-14.44,15.93
Coastal,Late,2 Coastal,CGH40,-14.55,15.94
Coastal,Late,2 Coastal,CGH255,-14.23,16.11
Coastal,Late,2 Coastal,CGH325,-14.69,16.12
Coastal,Late,2 Coastal,CGH356,-14.04,16.2
Coastal,Late,2 Coastal,CGH39,-15.03,16.23
Coastal,Late,2 Coastal,CGH357,-14.84,16.28
Coastal,Late,2 Coastal,CGH149,-14.04,16.36
Coastal,Late,2 Coastal,CGH332,-14.18,16.39
Coastal,Late,2 Coastal,CGH10,-14.24,16.4
Coastal,Late,2 Coastal,CGH12,-14.7,16.45
Coastal,Late,2 Coastal,CGH326,-14.4,16.45
Coastal,Early,2 Coastal,CGH204,-14.61,16.49
Coastal,Late,2 Coastal,CGH373,-14.72,16.62
Coastal,Late,2 Coastal,CGH16,-14.82,16.64
